"tipo","codigo","descricao","credito","parcela_01_12","demais_parcelas","parcela_pf","parcela_pj","redutor","prazo","taxa_adm","adesao","fundo_reserva","seguro","reajuste","sorteio","lance_fixo","lance_embutido","grupo","status","pontos_livelo","imagem"
"Imovel","IMP08 - IMOVEL PLANO PREMIUM XIMP08X","IMOVEL PLANO PREMIUM","1000000","6148","4480",,,"25","200","19.5","2","2","Não possui","A média entre IPCA e INCC","1 por mês","40%","30%","1035","Em formação","215180","https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaimovelporto.png"
"Auto","AF01","AUTOMOVEL FLEX AF01","25000",,,"480,01","480,01","20","50","18",,"2","Não possui","IPCA","1 por mês","Não possui","15%","996","Em formação","6720","https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaautoporto.png"
"Auto","AF02","AUTOMOVEL FLEX AF02","27500",,,"528","528","20","50","18",,"2","Não possui","IPCA","1 por mês","Não possui","15%","996","Em formação","7392","https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaautoporto.png"
"Auto","AF03","AUTOMOVEL FLEX AF03","30000",,,"576","576","20","50","18",,"2","Não possui","IPCA","1 por mês","Não possui","15%","996","Em formação","8064","https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaautoporto.png"
"Auto","AF04","AUTOMOVEL FLEX AF04","32500",,,"624","624","20","50","18",,"2","Não possui","IPCA","1 por mês","Não possui","15%","996","Em formação","8736","https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaautoporto.png"
"Auto","AF05","AUTOMOVEL FLEX AF05","35000",,,"672,01","672,01","20","50","18",,"2","Não possui","IPCA","1 por mês","Não possui","15%","996","Em formação","9408","https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaautoporto.png"
"Auto","AF06","AUTOMOVEL FLEX AF06","37500",,,"720","720","20","50","18",,"2","Não possui","IPCA","1 por mês","Não possui","15%","996","Em formação","10080","https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaautoporto.png"
"Auto","AF07","AUTOMOVEL FLEX AF07","40000",,,"768","768","20","50","18",,"2","Não possui","IPCA","1 por mês","Não possui","15%","996","Em formação","10752","https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaautoporto.png"
"Auto","AF08","AUTOMOVEL FLEX AF08","42500",,,"816","816","20","50","18",,"2","Não possui","IPCA","1 por mês","Não possui","15%","996","Em formação","11424","https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaautoporto.png"
"Auto","AF09","AUTOMOVEL FLEX AF09","45000",,,"864,01","864,01","20","50","18",,"2","Não possui","IPCA","1 por mês","Não possui","15%","996","Em formação","12096","https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaautoporto.png"
"Auto","AF10","AUTOMOVEL FLEX AF10","47500",,,"912","912","20","50","18",,"2","Não possui","IPCA","1 por mês","Não possui","15%","996","Em formação","12768","https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaautoporto.png"
"Auto","AF11","AUTOMOVEL FLEX AF11","50000",,,"960","960","20","50","18",,"2","Não possui","IPCA","1 por mês","Não possui","15%","996","Em formação","13440","https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaautoporto.png"
"Auto","AFCA01","AUTOMOVEL FLEX CREDITO ALTO AFCA01","62500",,,"737,44","737,44","20","80","16",,"2","Não possui","IPCA","1 por mês","Não possui","15%","997","Em formação","13274","https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaautoporto.png"
"Auto","AFCA02","AUTOMOVEL FLEX CREDITO ALTO AFCA02","67000",,,"790,53","790,53","20","80","16",,"2","Não possui","IPCA","1 por mês","Não possui","15%","997","Em formação","14230","https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaautoporto.png"
"Auto","AFCA03","AUTOMOVEL FLEX CREDITO ALTO AFCA03","67500",,,"796,44","796,44","20","80","16",,"2","Não possui","IPCA","1 por mês","Não possui","15%","997","Em formação","14336","https://ligaconsorcio.s3.us-east-2.amazonaws.com/midiaautoporto.png"
